Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,English speaking monolingual,Were you raised monolingual?,Bilingual,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65ebf62f08c1ca0e4068fdeb,65ebdea5351767d75ba731a1,AWAITING REVIEW,Not Applicable,2024-03-09T05:40:06.859000Z,2024-03-09T05:45:18.355000Z,,2024-03-09T05:46:00.562310Z,312.0,C1JQLVOG,0,I only know English,I was raised with my native language only,none just my native langauge,English,19,Male,White,United States,United States,United States,English,No,Part-Time
65ebf68fe82ba125b35fd553,586429c0460cb5000183f8e3,AWAITING REVIEW,Not Applicable,2024-03-09T05:41:42.429000Z,2024-03-09T05:45:47.130000Z,,2024-03-09T05:46:01.305427Z,245.0,C1JQLVOG,1260,I know 2 or more languages in addition to English,I was raised with two or more languages,native language + two other languages,English,31,Female,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
65ebf6a23cbb82b1b6c0d7d6,5fbf94a57d562f2a6dc2cb46,AWAITING REVIEW,Not Applicable,2024-03-09T05:41:54.658000Z,2024-03-09T05:49:54.563000Z,,2024-03-09T05:49:55.035430Z,480.0,C1JQLVOG,609,I know one other language in addition to English,I was raised with two or more languages,native language + one other language,"English, Swahili",25,Female,Black,Kenya,United Kingdom,Kenya,English,Yes,DATA_EXPIRED
65ebf73cf04b0871b3847962,5bc1a085471dff00016341ef,AWAITING REVIEW,Not Applicable,2024-03-09T05:44:32.828000Z,2024-03-09T05:51:39.549000Z,,2024-03-09T05:51:40.073671Z,427.0,C1JQLVOG,346,I only know English,I was raised with my native language only,none just my native langauge,English,23,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
65ebf86de73ea3a47721f0df,5f8f144a0b55a111b414e36a,AWAITING REVIEW,Not Applicable,2024-03-09T05:49:35.937000Z,2024-03-09T05:54:22.934000Z,,2024-03-09T05:54:23.431064Z,287.0,C1JQLVOG,283,I only know English,I was raised with my native language only,none just my native langauge,English,31,Male,White,United States,United States,United States,English,No,Full-Time
65ebf8e79e72647fd829caad,60459f654004876e609870e9,AWAITING REVIEW,Not Applicable,2024-03-09T05:51:40.705000Z,2024-03-09T05:57:38.315000Z,,2024-03-09T05:57:38.826322Z,358.0,C1JQLVOG,492,I only know English,I was raised with my native language only,none just my native langauge,English,46,Male,White,United Kingdom,Ireland,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65ebf95bda352137ad4fdafe,5effca0389eb590c6eed8d4d,AWAITING REVIEW,Not Applicable,2024-03-09T05:53:34.447000Z,2024-03-09T05:57:21.446000Z,,2024-03-09T05:57:21.960526Z,227.0,C1JQLVOG,2869,I only know English,I was raised with my native language only,none just my native langauge,English,21,Male,Mixed,United States,United States,United States,English,Yes,Part-Time
65ebf97b0f18d988b7326106,595339f4ad2ce90001b88266,AWAITING REVIEW,Not Applicable,2024-03-09T05:54:03.395000Z,2024-03-09T05:57:45.109000Z,,2024-03-09T05:57:45.528121Z,222.0,C1JQLVOG,1963,I only know English,I was raised with my native language only,none just my native langauge,English,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ebf9b06ff6798ef91c924e,5c6f3b6d8cafb60001a89297,AWAITING REVIEW,Not Applicable,2024-03-09T05:55:06.731000Z,2024-03-09T06:08:42.195000Z,,2024-03-09T06:08:42.740361Z,816.0,C1JQLVOG,968,I only know English,I was raised with my native language only,none just my native langauge,English,71,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65ebf9b1d17e592bbc5aa6d7,6110e05be57a58fddd8aadef,AWAITING REVIEW,Not Applicable,2024-03-09T06:03:58.081000Z,2024-03-09T06:20:51.816000Z,,2024-03-09T06:20:52.331231Z,1014.0,C1JQLVOG,642,I only know English,I was raised with my native language only,none just my native langauge,English,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
