Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,English speaking monolingual,Were you raised monolingual?,Bilingual,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65e706be24209267f4303f8f,5c7ceda01d2afc0001f4ad1d,APPROVED,Not Applicable,2024-03-05T11:49:18.517000Z,2024-03-05T11:59:15.183000Z,2024-03-08T09:35:54.814000Z,2024-03-05T11:59:15.801818Z,597.0,C1JQLVOG,1168,I only know English,I was raised with two or more languages,none just my native langauge,English,43,Male,White,Ireland,Ireland,Ireland,English,No,Part-Time
65e706c0c05c9b08facdb403,5eb463628b63a22bad15771c,APPROVED,Not Applicable,2024-03-05T11:49:23.578000Z,2024-03-05T12:12:40.106000Z,2024-03-08T09:35:58.881000Z,2024-03-05T12:12:40.565808Z,1397.0,C1JQLVOG,1508,I only know English,I was raised with my native language only,none just my native langauge,English,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e706c18971324a7c1a0040,588a4cbb670d6600012bd509,APPROVED,Not Applicable,2024-03-05T11:49:29.230000Z,2024-03-05T11:53:20.016000Z,2024-03-08T09:36:05.814000Z,2024-03-05T11:53:20.505148Z,231.0,C1JQLVOG,1131,I know one other language in addition to English,I was raised with my native language only,native language + one other language,English,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
65e706c27ef2a34ee151fd27,57681fca8e454c000133a203,APPROVED,Not Applicable,2024-03-05T11:49:45.711000Z,2024-03-05T11:59:38.941000Z,2024-03-08T09:36:16.964000Z,2024-03-05T11:59:39.409056Z,594.0,C1JQLVOG,1347,I only know English,I was raised with my native language only,none just my native langauge,English,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65e706c64b45cfd539498fa8,5b22d5a51eef1b00016f3bbf,APPROVED,Not Applicable,2024-03-05T11:49:36.374000Z,2024-03-05T11:57:57.127000Z,2024-03-08T09:36:10.852000Z,2024-03-05T11:57:57.552220Z,501.0,C1JQLVOG,1612,I only know English,I was raised with my native language only,none just my native langauge,English,34,Male,Other,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e706c7e36a74c7481a0014,5c8cfc3772503f0001e9c965,APPROVED,Not Applicable,2024-03-05T11:49:27.304000Z,2024-03-05T11:56:15.591000Z,2024-03-08T09:36:02.816000Z,2024-03-05T11:56:16.051444Z,409.0,C1JQLVOG,2537,I only know English,I was raised with my native language only,none just my native langauge,English,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e706c8929ce87e9fc90e78,594fbff59d914e000136d13f,APPROVED,Not Applicable,2024-03-05T11:49:39.642000Z,2024-03-05T11:53:31.430000Z,2024-03-08T09:36:13.637000Z,2024-03-05T11:53:31.915676Z,232.0,C1JQLVOG,1241,I only know English,I was raised with my native language only,none just my native langauge,English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e706f4aa0e5441b9773ce3,5bc73b9f821054000181a853,APPROVED,Not Applicable,2024-03-05T11:50:16.235000Z,2024-03-05T11:58:19.284000Z,2024-03-08T09:36:19.722000Z,2024-03-05T11:58:19.795491Z,484.0,C1JQLVOG,2639,I only know English,I was raised with my native language only,none just my native langauge,English,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65e707579decf3cbf330c3b9,5b2a72f7c293b90001732b89,APPROVED,Not Applicable,2024-03-05T11:52:14.648000Z,2024-03-05T12:02:08.820000Z,2024-03-08T09:36:22.240000Z,2024-03-05T12:02:09.366327Z,595.0,C1JQLVOG,1797,I only know English,I was raised with my native language only,none just my native langauge,English,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65e707e94620861473cc4266,5b2bcfb51835660001cc6751,APPROVED,Not Applicable,2024-03-05T11:54:23.336000Z,2024-03-05T12:18:06.132000Z,2024-03-08T09:36:40.998000Z,2024-03-05T12:18:06.798380Z,1423.0,C1JQLVOG,1454,I only know English,I was raised with my native language only,none just my native langauge,English,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
